Coin Name,	Coin Price,	24h Volume,	Market Cap,
Bitcoin,	$20004.32,	$36313312981,	$383667700593,
Ethereum,	$1597.70,	$18713921129,	$193207103624,
Tether,	$0.998590,	$48274489598,	$67917357382,
USD Coin,	$0.998604,	$6102061764,	$50674949733,
BNB,	$274.99,	$927560978,	$44981654797,
Binance USD,	$0.998509,	$10324261647,	$20492649181,
XRP,	$0.335586,	$1128451576,	$16733405851,
Cardano,	$0.468730,	$627443742,	$15877513406,
Solana,	$33.02,	$877007172,	$11719513656,
Polkadot,	$7.02,	$280775097,	$8094616978,
Dogecoin,	$0.060277550295,	$356023303,	$8000084133,
Shiba Inu,	$0.000011867296,	$351283425,	$7006885093,
Lido Staked Ether,	$1551.46,	$39720821,	$6714190483,
Dai,	$0.998236,	$702651587,	$6381614806,
Polygon,	$0.840460,	$392697016,	$6266577389,
TRON,	$0.060747060909,	$331096133,	$5603194340,
Avalanche,	$18.60,	$356191356,	$5508655038,
Wrapped Bitcoin,	$20014.06,	$270254061,	$4981544034,
Ethereum Classic,	$36.17,	$1827218808,	$4959086930,
LEO Token,	$5.12,	$2078492,	$4783621506,
Uniswap,	$5.97,	$93796273,	$4516620938,
Litecoin,	$58.92,	$513529786,	$4201027026,
Cosmos Hub,	$13.42,	$358567713,	$3938222235,
OKB,	$15.42,	$17189794,	$3933336095,
NEAR Protocol,	$4.36,	$280327421,	$3440878716,
Chainlink,	$7.18,	$497096921,	$3361366492,
FTX,	$24.77,	$69471512,	$3326425092,
Cronos,	$0.109590,	$18696995,	$2777552951,
Monero,	$147.75,	$99333736,	$2686940814,
Stellar,	$0.103051,	$87940729,	$2615213464,
Bitcoin Cash,	$117.27,	$186965020,	$2251729691,
Algorand,	$0.294408,	$61273534,	$2040936025,
Flow,	$1.80,	$75871740,	$1873575276,
Terra Luna Classic,	$0.000264482864,	$1186111028,	$1823698172,
VeChain,	$0.023470291121,	$82306642,	$1704316204,
Filecoin,	$5.79,	$189109205,	$1635407136,
Internet Computer,	$6.10,	$44755379,	$1589912608,
ApeCoin,	$4.97,	$323881391,	$1564067197,
Chain,	$0.067728459256,	$3117206,	$1451658079,
EOS,	$1.42,	$390952848,	$1435755187,
Hedera,	$0.062327060386,	$45560604,	$1433420003,
Frax,	$0.998317,	$12732871,	$1416106711,
Tezos,	$1.54,	$44816889,	$1388690616,
Decentraland,	$0.722737,	$122547126,	$1312156607,
The Sandbox,	$0.871249,	$176190546,	$1308968643,
Quant,	$96.82,	$21997604,	$1302225285,
Axie Infinity,	$12.95,	$72522923,	$1169331521,
Aave,	$80.56,	$156606917,	$1139523902,
Elrond,	$48.65,	$33953092,	$1118330087,
Theta Network,	$1.08,	$36444459,	$1081346787,
TrueUSD,	$0.998165,	$126679477,	$1069767822,
Lido DAO,	$1.69,	$104992821,	$1056893785,
Bitcoin SV,	$52.71,	$31802142,	$998930373,
cUSDC,	$0.022642379707,	$209.60,	$986072741,
Chiliz,	$0.181567,	$298968857,	$970795639,
Pax Dollar,	$0.997350,	$5079613,	$966273527,
KuCoin,	$9.24,	$1913524,	$905357142,
eCash,	$0.000044826180,	$197998189,	$863133658,
Evmos,	$2.86,	$3738576,	$846591126,
Celsius Network,	$1.94,	$35345392,	$825936766,
The Graph,	$0.109751,	$41213807,	$813148382,
BitTorrent,	$0.000000857047,	$21126181,	$805500609,
Huobi BTC,	$19898.18,	$235437,	$774093603,
Zcash,	$59.84,	$38552069,	$768470203,
IOTA,	$0.264359,	$17850106,	$736366222,
Ravencoin,	$0.062208005719,	$486005898,	$725888800,
USDD,	$0.993291,	$111608866,	$720660004,
Huobi,	$4.61,	$9255939,	$705385261,
Radix,	$0.064073958582,	$449884,	$639082258,
NEO,	$8.86,	$35655244,	$625864521,
Gate,	$4.30,	$2686756,	$624541240,
Synthetix Network,	$2.61,	$48758904,	$623315358,
Klaytn,	$0.206170,	$28902623,	$622854860,
Maker,	$684.51,	$20976067,	$617571476,
Fantom,	$0.244159,	$175585249,	$615487076,
Neutrino USD,	$0.897364,	$1405849,	$613014159,
BitDAO,	$0.569031,	$103273621,	$592014243,
PancakeSwap,	$4.09,	$45106050,	$571057591,
Rocket Pool,	$30.14,	$2688713,	$565237872,
Osmosis,	$1.27,	$18634500,	$565096764,
cDAI,	$0.022071232329,	$303.13,	$549721836,
PAX Gold,	$1682.60,	$7627358,	$547450508,
DeFiChain,	$0.920828,	$5880809,	$540789208,
Helium,	$4.10,	$18120450,	$526264276,
THORChain,	$1.74,	$72715194,	$524877446,
Zilliqa,	$0.034058214401,	$48712191,	$506419309,
NEXO,	$0.885991,	$6510633,	$496418696,
cETH,	$32.21,	$920.14,	$494561869,
Enjin Coin,	$0.490769,	$46785405,	$490776924,
Dash,	$43.94,	$107957690,	$480662438,
Basic Attention,	$0.316634,	$50220381,	$474716449,
Arweave,	$9.45,	$13729343,	$474004838,
Terra,	$2.89,	$1280685615,	$469077817,
Stacks,	$0.346003,	$6695268,	$462384511,
Tokenize Xchange,	$5.74,	$13615115,	$459731059,
Waves,	$4.32,	$67494318,	$433174002,
Amp,	$0.005480806267,	$6558159,	$422219492,
Tether Gold,	$1706.30,	$1648058,	$420906260,
Bitcoin Gold,	$23.92,	$12984798,	$418633642,
Trust Wallet,	$0.996969,	$9699933,	$416573593,
